name,text_type
热血剧场玉海棠,动作 动画 冒险
洛克王国大冒险 恩佐日记 ,动画
 冷暖人生 同一屋檐下上,喜剧
爱神巧克力第集,喜剧 爱情 动画
阿优之兔智来了 ,动画 儿童
乡土,纪录片
寻找小天使 中文版 ,纪录片 音乐 传记
凄灵室,剧情 爱情 悬疑 惊悚
土豆侠 ,动画
我的朋友猪迪克 ,喜剧 动画 儿童
秦时明月 TV版 ,剧情 动画 历史 武侠 古装
正阳门下 ,剧情
梁家妇女 ,动画
职场是个技术活 ,剧情 爱情
老广的味道,纪录片
女人,剧情
波士早晨国语版,喜剧 爱情
远去的飞鹰,剧情 战争
我爱满堂彩  请你吃火锅,喜剧 短片
HD大唐荣耀 第集,音乐 舞台艺术
铁血军魂 第集,历史 战争
HD魔都风云第集,剧情 爱情
下一站别离 ,剧情 爱情
标清 电影悟空传,剧情 动作 奇幻
老表你好hea国语版NEW,喜剧
HD荒野求生 第六季全球求生指南,冒险 -
詹姆士的厨房,真人秀
HD花丸幼稚园,剧情 动画
我的父亲是板凳 ,战争
标清 电影九连环,剧情 悬疑
远方的家一带一路特别节目,纪录片
新萧十一郎TV版第集,武侠 古装
绝地枪王之松花江上的枪声,剧情
HD喜羊羊与灰太狼之洋洋得意喜羊羊I,动画 儿童
电影大鱼美国,剧情 家庭 奇幻 冒险
百变马丁第季 ,儿童
大话红娘 ,剧情 爱情
不可能完成的任务,剧情
自由本是擂台出,喜剧
我爱男保姆,剧情 喜剧
老九门,剧情 悬疑
浮城谜事,剧情
红高粱,剧情 传记
美国队长：寒冬战士,动作 科幻 冒险
龙骨山 ,动画
HD娱乐专题谁是拳王孙楠第三集跨界喜剧王第一季娱乐,喜剧 脱口秀
飞哥大英雄,剧情 历史 战争
狐影,剧情
反击 ,剧情 动作 悬疑
铠甲勇士 第一部 ,剧情 情色
十七岁,爱情
HD踏破硝烟,剧情 战争
亮剑铁血军魂,历史 战争
HD米奇妙妙屋第三季,喜剧 动画 家庭
HD魔都风云,剧情 爱情
乱世书香 第集,剧情
托马斯和他的朋友们第十二季 ,动画 短片 儿童
破晓 第集,剧情 犯罪
知青家庭 ,剧情 爱情
标清 电影寻侠英雄传之飞贼,剧情
娘心,悬疑 家庭
HD烈火战车R国语版,情色
情陷夜中环II ,剧情 爱情
槑头槑脑 ,喜剧
喜剧总动员,喜剧 真人秀
谢文东之风云再起 ,剧情 动作 战争
杂志天下,脱口秀
铁齿铜牙纪晓岚Ⅱ,剧情 喜剧 古装
阿优之兔智来了 第二部 ,动画 儿童
毛泽东 ,纪录片
战鼓擂,剧情 战争
你是我最深爱的人,剧情 爱情
海洋之歌,剧情 动画 冒险
环太平洋,动作 科幻 冒险
我的灵界男友 ,剧情 喜剧 爱情 奇幻
幸福有配方,剧情 家庭
会说话的家族 ,动画
风云年代,剧情 战争
飞哥战队,剧情 战争
父亲的身份,剧情 悬疑
HD火线三兄弟,剧情
标清 秀丽江山之长歌行 第集,剧情 爱情 历史 古装
牌坊下的女人,剧情 家庭
阿奇幼幼园第一季,剧情 儿童 灾难
钢铁年代 ,剧情
大漠苍狼第集,剧情
冲卡的客车,喜剧
绝密 ,剧情
格林第二季原声版new,动画
历史的拐点第集,纪录片
木府风云 ,剧情 古装
风雪飘落的季节 ,剧情 战争
热血勇士,战争
小公主苏菲第二季亚片头曲,动画 家庭 儿童 奇幻
西游新传第二部,剧情 爱情
银魂,喜剧 动作 奇幻 冒险
电影左耳,爱情
爱情保卫战,真人秀
神龙斗士第一部 ,剧情 情色
 生活麻辣烫 骗你是小狗,剧情 喜剧 爱情 音乐
浙江卫视,音乐 歌舞 真人秀
步步杀机 ,惊悚
我的 ,爱情 短片 情色
都市剧场,恐怖
时尚购物,喜剧 爱情
HD青年霍元甲之冲出江湖,剧情 动作
侬本多情之乱世浮生 ,剧情 动作 爱情 传记 战争
包公出巡之梦回青楼 ,剧情 武侠 古装
相伴,剧情
古巴浪人,喜剧
HD米奇妙妙屋第五季,喜剧 动画 家庭
大风歌 ,剧情 古装
HD超时空男臣国语版,喜剧
神域少女 ,喜剧 动画
公公出宫国语版,剧情 喜剧 历史
黑土热血 ,剧情 爱情 历史 战争
最爱是中华,真人秀
是谁布下了这张桃色的网,剧情
不要离开我第集,剧情 家庭 儿童
HD托马斯和他的朋友们S,动画 短片 儿童
铁臂阿童木 ,动作 科幻 动画 家庭
女娲传说之灵珠 ,剧情 奇幻
勇士之门,奇幻 冒险
原子危机,科幻 惊悚
奇先生妙小姐 ,动画 家庭
二胎第集,剧情 家庭
神兽金刚 ,动画
决胜制高点,战争
突击再突击 ,剧情
想明白了再结婚第集,剧情 爱情
太行山上,历史 战争
降魔的国语版,喜剧 惊悚
彭德怀元帅new,剧情 传记 历史
肥猫寻亲记之明天会更好 ,剧情 家庭
特工绍特原声版,剧情 爱情 动画
风中的女王第一季原声版,剧情 奇幻
最好的安排,剧情 爱情
重庆新闻联播,纪录片
谈判冤家 ,剧情 爱情
弈棋耍大牌  ,剧情 动作 传记
国土安全第三季 ,剧情 悬疑 犯罪
双刺,剧情 悬疑
春天里New,剧情
五号特工组之偷天换月,剧情 犯罪
冲出迷雾,剧情 悬疑
学警狙击国语版,剧情 犯罪
传奇大亨 ,剧情
境界之轮回 ,喜剧 科幻 动画
HD翻生武林国语版,喜剧 古装
机灵小不懂,剧情 喜剧 古装
HD阳光下的法庭,剧情
水果传第一季第集,纪录片
HD不得不爱第集,音乐 舞台艺术
人再囧途之泰囧,喜剧
长江图,剧情 爱情
铁血军魂,剧情
 雾都夜话 上司有难上,剧情 爱情
 生活麻辣烫 闺蜜有颗玻璃心,爱情
北方大地,剧情
HD绝爱第集,剧情 爱情
新传奇,纪录片 真人秀
HD青年霍元甲之冲出江湖第集,剧情 动作
最有趣的实验上传奇纪实,剧情 犯罪 西部
异兽来袭国语版,剧情
卧底归来,剧情 动作 犯罪
青云志 ,奇幻 武侠 古装
纸牌屋第二季 ,剧情 悬疑
冲出月亮岛第集,剧情 战争
HD飘香剑雨第集,武侠 古装
怒放 ,剧情 爱情 音乐
大话红娘,剧情 爱情
四千金国语版,剧情 喜剧 爱情
斗龙战士 ,动画 冒险
独刺,剧情
故梦,剧情 爱情 传记 历史
环保小卫士 ,剧情 家庭
我的媳妇是女王,剧情 家庭
山海经之赤影传说 ,奇幻 古装
 生活麻辣烫 胖婆胖媳,家庭
非你莫属,真人秀
假如幸福来临 ,剧情 爱情
暗花 ,悬疑 犯罪
HD鬼吹灯之牧野诡事第集,动作 悬疑 惊悚 奇幻 冒险
长征纪事第集,剧情 犯罪
明日边缘原声版,动作 科幻
花儿与远方 ,剧情
老爸当家,喜剧
喋血边城第集,剧情 战争
我和老妈一起嫁 ,喜剧 爱情
美丽的契约 ,剧情 喜剧 家庭
情满雪阳花,剧情
爱情公寓,喜剧 爱情
HD水啸雾都原声版,动作 灾难
鸡毛飞上天,剧情
电影反斗神鹰美国,喜剧 动作 战争
包公奇案之情花劫 ,剧情 古装
大祠堂第集,剧情 古装
当家大掌柜 ,剧情 历史
超级飞侠第四季,动画
赌城风云,喜剧 动作
公司与行业,纪录片
妇道,剧情
火枪手 第三季 ,剧情 冒险
漂亮的李慧珍 第集,喜剧 爱情
年中国拳王赛总决赛,真人秀
标清 女医明妃传 第集,剧情 古装
档案,纪录片 历史
CCTV音乐,音乐
麻辣变形计,剧情
港剧风云,剧情 悬疑 犯罪
卧底 第集,剧情 犯罪
中国经典名著系列动画 ,动作 动画 悬疑 惊悚 犯罪
婚姻时差,剧情 家庭
谈判官,剧情 爱情
红色通道,剧情 战争
少年师爷之仁善行天下 ,喜剧 动画
美食地图 ,真人秀
纵横四海 ,剧情 喜剧 动作 犯罪
UFC自由搏击,动作
微笑江湖 ,剧情 喜剧 爱情 脱口秀
飞虎队大营救,剧情 战争
温柔的慈悲第集,剧情 音乐
当婆婆遇上妈之欢喜冤家 ,爱情 家庭
大秦帝国之纵横 ,剧情 历史 古装
细细的红线,剧情 战争
新神探联盟之包大人来了 ,剧情 动作 犯罪
天地男儿国语版,剧情
小爸爸 ,剧情 喜剧
杂警奇兵国语版,剧情 喜剧
HD甄嬛传,剧情 古装
阿U之神奇萝卜 ,动画 儿童
智取生辰纲,动作
熊出没 ,动画
夜空中最亮的星我是歌手,剧情 爱情
超体 NFL超级碗集锦：届超级碗老鹰爱国者全场集锦,运动
电影大话西游之月光宝盒,喜剧 爱情 奇幻 冒险
 雾都夜话 上司有难下,剧情 爱情
标清 电影老爸当家美国,喜剧
HD捷德奥特曼,动作 科幻 动画
HD救援汽车人第三季,喜剧 动画 冒险
动画片,喜剧 动画 歌舞
HD开心鬼撞鬼国语版,喜剧 奇幻
北京卫视,喜剧 音乐 歌舞 家庭 脱口秀
动作影院,动作 武侠
黄金背后 ,剧情
熊爸熊孩子,剧情 家庭
壮丁也是兵 ,剧情 战争
勇者大冒险第二季第集,动作 动画 奇幻 冒险
好宝宝童话故事 ,动画
我在北京挺好的 ,剧情 爱情
莫麟传奇 ,动画
大学生士兵的故事 ,喜剧
我的同学不是人,爱情 悬疑 惊悚 恐怖
隋唐英雄第集,剧情 历史 古装
待嫁老爸第集,剧情 家庭
西涯侠 ,喜剧 武侠 古装
道德与法治,犯罪
长在面包树上的女人 ,剧情 爱情
小小的美好合辑,喜剧 动画 短片 奇幻
托马斯和他的朋友们S,动画 短片 儿童
萌鸡小队 ,动画 家庭 儿童
喜剧影院,喜剧 科幻
Q版三国 ,剧情 动画
热血 ,剧情
聊斋新编第集,剧情 古装
热血长安 第二季 ,悬疑 古装
碧血剑版,喜剧 动作 爱情 武侠 古装
破晓,剧情
黎明之前 ,剧情 悬疑 历史
极速蜗牛第一季 狂奔 ,喜剧 动画 冒险
斗破苍穹第二季 ,剧情 动作 动画 奇幻 冒险
中国教育,纪录片
 生活麻辣烫 娘家也是家,剧情 爱情
锦上添花,喜剧
HD好久不见第集,纪录片
健男抢钱团,喜剧 动作 犯罪
山东卫视,音乐 歌舞
欢乐中国人Ⅱ,喜剧 家庭 真人秀
换了人间new,剧情
HD突击再突击第集,剧情
传奇大掌柜,剧情
HD远大前程 第集,音乐 舞台艺术
雪豹,剧情 战争
急诊室故事 ,剧情 爱情
幸福最晴天第集,爱情
最爱你 ,剧情 爱情
芝麻开门,剧情
奔跑吧兄弟Ⅲ,喜剧
唐伯虎点秋香,喜剧 爱情 古装
星际迷航发现号第一季第集,科幻
谁来伺候妈 ,家庭
步步紧逼,剧情 惊悚 犯罪
标清 电影极地营救,剧情 动画 家庭 冒险
养母的花样年华大结局,剧情 家庭
海底小纵队第二季 ,动画
博人传 火影忍者新时代 ,动画 冒险
李伯清书场,剧情 儿童 奇幻
动物世界,剧情 动作 冒险
 冷暖人生 亲情迷局下,剧情 战争
红玫瑰与黑玫瑰 ,剧情
HD娱乐专题我们不一样岳云鹏孙越欢乐喜剧人,喜剧
犯罪心理第七季 ,剧情 悬疑 惊悚 犯罪
夺路而逃,喜剧 动作
谍影重重,动作 悬疑 惊悚
平安,剧情 喜剧 动作 爱情 歌舞 家庭
老兵 ,剧情 动作
十月初五的月光,剧情 爱情
变形金刚 第一季 ,动作 科幻 动画 惊悚 家庭 奇幻 冒险
波士顿爆炸案,纪录片
政委 ,剧情 战争
火力少年王之舞动火力 ,动作 科幻 奇幻 运动
花非花雾非雾 DVD版 ,剧情 爱情
夏至未至第集,剧情 爱情
档案 ,纪录片 历史
老婆大人第二部国语版,喜剧 恐怖
HD动物兄弟第四季,喜剧 动画 儿童 冒险
地下交通站,喜剧
槑头槑脑第集,喜剧
青春如期下,爱情
十二生肖传奇 ,剧情 奇幻 古装
天赋异禀第集,动作 科幻 奇幻
地火 ,剧情 战争
一夜惊喜,喜剧 爱情
咱家,剧情
王昭君 ,剧情 古装
HD波士早晨国语版,喜剧 爱情
虹猫蓝兔海底历险记 ,剧情 动画 武侠
巧夺天工,纪录片
嘟哒和达达第二季,剧情 家庭
长江新闻号,喜剧 科幻
沃土 ,动画
宝贝战争 ,家庭
翼飞冲天之天际战骑 ,儿童
雷神黑暗世界,动作 奇幻 冒险
速度与激情,动作 犯罪
新网球王子 ,剧情 动画 运动
国家底线,剧情
骄阳似我 完整版 ,剧情
魔都风云 ,剧情 爱情
文娱新天地,剧情 爱情
婚姻时差第集,剧情 家庭
中国式离婚NEW,剧情 家庭
HD谜砂,悬疑 犯罪
宝贝妈妈宝贝女 ,剧情 喜剧 爱情
倾听张靓颖演唱会,真人秀
虎妈猫爸 ,剧情 爱情 家庭
格林第四季 ,悬疑 奇幻
新视觉体育高清,喜剧 家庭 运动
伏击 ,剧情 战争
我的老爸是奇葩,喜剧 家庭
温暖不是爱,喜剧 情色
远大前程 ,剧情
龙归之龙行天下TV版 ,动画
富贵门国语版,剧情
通天干探国语版new,剧情 爱情
HD好先生,剧情 爱情
调解面对面,真人秀 脱口秀
惊天解密,动作 悬疑 惊悚
HD琅琊榜,剧情 古装
焦点访谈,纪录片
射雕英雄传版国语版,剧情 武侠 古装
闪电十一人GO ,动画
五星大饭店 ,剧情 爱情
幸福从天而降 ,剧情 爱情 家庭
我的辣妹保镖第集,喜剧 爱情 悬疑 犯罪
寰宇视野,纪录片
尖子攻略国语版,剧情
救火英雄,动作 灾难
军人机密new,剧情 悬疑 惊悚 犯罪
神偷奶爸,喜剧 动画 冒险
第集TFBOYS偶像手记娱乐,真人秀
班长大人第集,喜剧 爱情 奇幻
家事有道,剧情 传记 犯罪
两个女人的战争TV版第集,剧情 爱情
家有儿女第一部,喜剧 家庭
奋斗,喜剧 爱情
快乐剧场热血豪侠,动作 动画 冒险
独孤天下 ,爱情 古装
HD娱乐专题谁是男一号文松欢乐喜剧人,喜剧 爱情
致青春原来你还在这里,剧情 爱情
恐龙帝国第二季 ,科幻 家庭 奇幻 冒险
HD爱情万万岁,剧情 爱情
HD海上嫁女记,剧情 爱情
花红花火 ,剧情 爱情 战争
我会听话合辑,喜剧 动画 短片 奇幻
怒火英雄,剧情 战争
长征 ,剧情 历史
多少爱可以重来 ,剧情 家庭
十万个冷笑话 第二季 ,喜剧 动画 短片
网球王子TV版I,动画
战国无双 ,动画
三妹,剧情
决战江桥,剧情
HD勇士之城new,剧情 历史 战争
铁齿铜牙纪晓岚第二部,剧情 喜剧 古装
浴火之爱,动作 科幻 恐怖
小鱼儿与花无缺,武侠 古装
 生活麻辣烫 同学会,悬疑 惊悚 恐怖
铁齿铜牙纪晓岚第一部,剧情 喜剧 古装
夜市人生,剧情
HD兰陵王妃第集,音乐 舞台艺术
奈克瑟斯奥特曼,剧情 动作 科幻
电影银行匪帮美国,动作 惊悚 犯罪
人生若如初相见 ,剧情 爱情
十送红军 ,纪录片 传记 历史
热血三国之三顾茅庐 ,剧情 动作 历史 战争
 冷暖人生 花恋下,剧情 战争
黑子的篮球 第三季 ,剧情 动画 运动
惊天大暗杀,剧情 动作 惊悚 犯罪
追剿 ,剧情 悬疑
罗龙镇女人,家庭 战争
回看法网难逃天网法治,剧情 动作 惊悚
长征大会师 ,剧情 历史 战争
美人私房菜,剧情 古装
戴拿奥特曼new,科幻
HD喜羊羊与灰太狼之洋洋得意喜羊羊之二,动画 儿童
故事奶奶 ,动画 儿童
古剑奇谭,剧情 奇幻 武侠 古装
第二十二条婚规 ,爱情 家庭
HD妈妈像花儿一样,剧情 喜剧
看不见的背后 ,剧情 悬疑 惊悚 犯罪
目击者,悬疑 惊悚 犯罪
舞蹈世界,歌舞 真人秀
放弃我抓紧我,剧情 爱情
珍奇异果来报道,剧情 短片
儿科医生,剧情
和妈妈一起谈恋爱 ,剧情 家庭
东风破,剧情
大唐荣耀 ,剧情 爱情 古装
电视剧,喜剧 奇幻 冒险
廉政英雌之火枪柔情国语版,剧情 犯罪
 生活麻辣烫 囧爸和囧妈,剧情 爱情
医馆笑传 ,剧情 古装
鬼马智多星国语版,喜剧
首播记住乡愁第三季,纪录片
HD资本之战原声版,剧情 爱情 动画
 拍案说法 疯狂的面包车,脱口秀
催眠大师,剧情 悬疑 惊悚
火锅英雄,剧情 犯罪
乡村爱情圆舞曲 ,喜剧 爱情
电影再造战士：全新一代美国,剧情 动作 科幻
烟雨斜阳 ,剧情
娱乐专题午夜排档孙艺洲第一集跨界喜剧王第二季娱乐,喜剧 脱口秀
中国老总,纪录片
神雕侠侣版国语版,爱情 武侠 古装
擒狼,剧情 动作 战争 西部
数码宝贝第二部,动画 儿童
电视剧异镇,剧情 喜剧 科幻
这里是北京 ,纪录片
芳华预告片,剧情 历史 战争
枪口,剧情
共同关注,剧情
好友之约,剧情 爱情
HD勇敢者游戏决战丛林原声版,动作 奇幻 冒险
华豫之门精编版,剧情 历史 战争
十宗罪 ,喜剧 爱情
铁齿铜牙纪晓岚,剧情 喜剧 古装
东方时空,脱口秀
 生活麻辣烫 一个人的火锅上,喜剧 动作 科幻
 冷暖人生 引狼入室下集,剧情 战争
那年那兔那些事儿 第三季 ,动画 历史 战争
中国舆论场,脱口秀
HD梦想合伙人第集,音乐 舞台艺术
HD天下粮田,剧情 古装
御前四宝 ,喜剧 动作 历史 古装
疑犯追踪第三季 ,剧情 动作 悬疑
HD娱乐专题掌握你的色彩人生乐嘉第一集跨界喜剧王第一季娱乐,喜剧 脱口秀
守望 ,剧情
铁血红安,剧情 历史 战争
师傅,剧情 动作 武侠
巾帼枭雄之义海豪情国语版new,剧情 历史
婚姻料理 ,剧情 喜剧 家庭
乱世佳人国语版,剧情 爱情 历史 战争
冰封：重生之门,喜剧 动作 奇幻
新笑傲江湖 ,剧情 武侠 古装
旋风管家 ,剧情 喜剧 爱情 动画
毒战,剧情 动作 犯罪
无头东宫国语版,剧情 悬疑 奇幻 古装
动画大放映,喜剧 动画 家庭
南极之恋预告片,爱情 冒险
刺客学妹,喜剧 动作 冒险
湖南卫视,音乐 歌舞 真人秀
蜡笔小新第九部,喜剧 动画 家庭
巴啦啦小魔仙之魔箭公主,奇幻 冒险
飞刀又见飞刀 ,剧情 动作 爱情
电影异星觉醒美国,科幻 惊悚 恐怖
于成龙,剧情
珍宝大战,剧情 动作 犯罪
求婚大作战日版第集,剧情 爱情
雾都夜话,剧情 家庭
名侦探柯南剧场版第十四个目标,动画 悬疑
金玉良缘 ,喜剧 爱情
熊熊乐园,动画
境界之轮回S ,喜剧 科幻 动画
HD娱乐专题我要上喜剧人张云雷杨九郎欢乐喜剧人,喜剧
欢乐元帅 ,剧情
HD阳光下的法庭 第集,剧情
降魔传国语版,喜剧 奇幻
爱车聊天室,剧情 同性
电影末日浩劫美国,动作 科幻 冒险 灾难
大宅门NEW,剧情 爱情 家庭 传记 历史
电影大醉侠,动作 武侠 古装
后来,剧情
惊情小时 ,爱情 恐怖
亲亲我好妈国语版,剧情 家庭
翻生武林国语版,喜剧 古装
私人公园 ,爱情 悬疑
法国巴黎饮食奇趣录探索纪实,纪录片
鸡鸡复鸡鸡,纪录片
命中注定,剧情 爱情 情色
死亡之恋,喜剧
清道夫第二季原声版,剧情 音乐
HD彭德怀元帅,剧情 传记 历史
HD老九门,剧情 悬疑
虫师第一季 ,剧情 动画 悬疑 惊悚 恐怖 奇幻
HD娱乐专题一切都是最好的安排贾玲欢乐喜剧人,剧情 喜剧 惊悚
萌鸡小队,动画 家庭 儿童
微时代第集,喜剧 爱情
乾隆大帝国语版,古装
两张照片,剧情
中国新相亲娱乐,真人秀
炫动卡通,爱情 短片
开门大吉,音乐 歌舞 真人秀
我的继父是偶像 ,剧情 喜剧
下辈子还做我老爸 ,剧情
HD勇者大冒险第一季,动画 悬疑 奇幻 冒险
半夜不要照镜子,悬疑 惊悚
偏偏爱上你 ,爱情
 冷暖人生 戴面具的女人上,悬疑 犯罪
麻雀,剧情 悬疑
罗拉大反斗,喜剧 爱情
标清 X档案：我要相信,剧情 科幻 悬疑 惊悚
闹市寻凶,剧情 惊悚
神秘人质,剧情
包公出巡之龙凤肚兜 ,动作 古装
HD铁血军魂 第集,音乐 舞台艺术
小马宝莉 ,喜剧 动画 家庭 儿童 奇幻
爱人同志,剧情 战争
中国家庭之母爱 ,剧情 爱情
 凡人有喜 偏偏喜欢你,剧情 爱情
松花江上的枪声,剧情
跨界歌王精彩大回顾,音乐 真人秀
殊死日,剧情
奔跑吧兄弟第四季 ,真人秀
天气预报员,剧情 喜剧
战狼,动作
我是你的眼 ,剧情 喜剧
 生活麻辣烫 火锅人生,剧情
 凡人有喜 我要完美爱情,剧情 爱情 奇幻
网球,动画
HD那刻的怦然心动 第集,剧情 爱情
扑克王,喜剧
SPEC第集,剧情 悬疑
野兽之瞳R国语版,剧情 动作
煎饼侠,喜剧
我们的十年,剧情 爱情
五星红旗迎风飘扬 ,剧情 历史
爱情ATM ,剧情
黑暗中的身影,剧情 歌舞
被偷走的那五年,爱情
毛泽东三兄弟,剧情 传记
少年包青天第三部NEW,动作 科幻 冒险
跳绳谣合辑,喜剧 动画 短片 奇幻
神犬奇兵第集,剧情
新婚公寓 ,剧情 爱情
连环套,剧情
幸福来敲门,剧情 爱情 家庭
解密 ,动作 悬疑 惊悚
 拍案说法 伪装作案的盗贼,脱口秀
命运派对,剧情 惊悚 犯罪
我的父亲我的兵 ,剧情
I Have Nothing,剧情 同性
电影碟中谍美国,动作 惊悚 冒险
义盖云天国语版,喜剧 爱情
HD我的前半生,剧情 家庭
足球之夜中超集锦,剧情 爱情
宰相刘罗锅,喜剧 古装
血战长空 ,历史
将界 ,剧情 动作 悬疑 奇幻
今日股市,剧情
电影我是谁的宝贝,剧情 家庭 犯罪
 凡人有喜 小魔仙的奇遇,儿童 奇幻 冒险
第一动画乐园,喜剧 动画 音乐 奇幻
洗冤录第二部国语版,喜剧 恐怖
HD中国新相亲娱乐,真人秀
新闺蜜时代第集,剧情
HD伪装者,剧情 悬疑
田姐辣妹NEW,剧情
海军陆战队员,动作 惊悚
HD欧布奥特曼原生之初,科幻
中国刑警,剧情 犯罪
电影佐州自救兄弟美国,喜剧 动作
独狼,剧情 历史 战争
人文地理,纪录片
HD恋爱先生 第集,音乐 舞台艺术
指尖上的传承之平衡针灸,纪录片
少年方世玉,剧情 喜剧 儿童 武侠
全纪实,纪录片
监狱风云国语版,剧情 动作 犯罪
最强大脑,真人秀
闺蜜,剧情 喜剧
铁金刚勇破海龙帮,动作 惊悚 冒险
派恩维尔抢劫案,剧情
平凡岁月,剧情 爱情
 凡人有喜 我压迫我的感觉,动作 科幻
大话西游之爱你一万年 ,喜剧 爱情 古装
HD俺爹是卧底,剧情
刀客家族的女人 ,剧情 爱情
谍战剧场,剧情 悬疑
可爱的中国,剧情 传记 战争
胭脂霸王 ,剧情 古装
前任预告片,喜剧 动画 短片 奇幻
HD初心,剧情
娱乐专题光阴的故事贾冰欢乐喜剧人,真人秀
虚拟实惊,科幻 悬疑 惊悚 犯罪
你是我的菜,剧情 喜剧
神秘博士 第九季 ,剧情
军情解码 ,战争 真人秀
小时,剧情 动作 惊悚 战争
伤不起的青春 ,剧情 爱情
 生活麻辣烫 熊孩子两个半,喜剧
孤战,剧情 战争
宝贝第集,动画
标清 赛季德甲联赛第轮 沙尔克VS多特蒙德 ,纪录片
大丈夫 ,剧情 喜剧
监守之盗,奇幻 冒险
东方卫视,音乐 真人秀
追寻假货之源,剧情 爱情 音乐 传记 历史
HD刀锋下的替身new,剧情 犯罪
绝命后卫师,剧情 战争
桌球天王国语版,剧情 爱情
万物理论,剧情 爱情 传记
标清 电影破坏者美国,剧情 动作 惊悚 犯罪
金玉良缘,喜剧 爱情
刀光枪影,剧情
HD我在故宫修文物二可爱的中国纪实,纪录片
我的铁血金戈梦,剧情
大秦帝国之崛起,剧情 历史
喜羊羊与灰太狼之智趣羊学堂 下部 ,动画 儿童
绝命攻击,惊悚
生活有点甜,剧情 喜剧 家庭
使徒行者国语版,剧情 动作 犯罪
洗冤录第一部国语版,爱情 武侠 古装
战斗王之飓风战魂 ,动画
队列之末 ,剧情 动作 战争
我和我的兄弟恩 ,剧情 爱情 家庭
新闻直播间,剧情 悬疑 犯罪
夸世代国语版,剧情 喜剧
生机无限,纪录片
极地营救,剧情
星推荐,脱口秀
天下足球  贝肯鲍尔：君临天下,剧情 动画 历史 武侠 古装
火线三兄弟,剧情
熊出没之欢乐对对碰,喜剧 动画 儿童 冒险
迈阿密风云,剧情 动作 惊悚 犯罪
HD小草青青,剧情
大秧歌,剧情
三擒亡命人,剧情 喜剧 爱情
HD娱乐专题评委特烦恼巫启贤李菁第三集跨界喜剧王第一季娱乐,喜剧 脱口秀
开心剧场女汉子,剧情 喜剧
HD神探夏洛克第二季原声版,剧情 悬疑 犯罪
HD我在黑社会的日子国语版,剧情 犯罪
HD娱乐专题爸爸孙涛欢乐喜剧人,真人秀
上海王国语版,剧情 动作 爱情
数码宝贝第一部,动画 儿童
新闻加,剧情
宇宙时空之旅第集,纪录片
青春有搏击娱乐,真人秀
新四大名捕 ,剧情 动作 犯罪
新名侦探柯南V,动画 悬疑
 生活麻辣烫 我不做单身狗,喜剧 动作
小品虎妈,剧情 爱情 家庭
圣域第二季 ,科幻
国剧演义,音乐 歌舞
 生活麻辣烫 天上掉下个林妹妹,剧情 喜剧 家庭
我在故宫修文物二可爱的中国纪实,纪录片
非凡的公主希瑞 ,动作 科幻 动画 家庭 冒险
私房钱第集,剧情 犯罪
格林第二季 ,剧情 惊悚 奇幻
和婆婆一起出嫁 ,剧情
奔跑吧Ⅰ,真人秀
抗日奇侠,剧情 战争
神精学妹第一季第集,剧情 喜剧 爱情
沙海老兵,剧情
HD知青家庭,剧情 爱情
争霸国语版,动画 冒险
战地狮吼,剧情 战争
大秦帝国之崛起new,剧情 历史
金婚,剧情 家庭
绝代双骄国语版,剧情 悬疑 惊悚
太行英雄传,剧情 战争
HD狐妖小红娘,动画
与龙同行 ,剧情 喜剧
HD鸡毛飞上天第集,剧情
追击者new,剧情 动作 犯罪
马向阳下乡记第集,剧情
超时空男臣国语版,喜剧
间隔八分钟,脱口秀
生命时速紧急救护,纪录片
互联网上的色诱,剧情 爱情 悬疑 同性
电影摇摆De婚约,剧情 喜剧
HD神机妙算刘伯温,剧情
比得兔第二季,喜剧 动画 冒险
布袋和尚国语版,奇幻 古装
奔跑吧先导片,真人秀
前目的地,科幻 悬疑
昆虫的进化上,纪录片
HD格林第四季原声版,奇幻 冒险
爱与恨 失控,纪录片 音乐
霹雳谜城之九轮异谱 ,奇幻 武侠 古装
小瑞与大魔王 ,动画 儿童
乐高幻影忍者,喜剧 动作 动画 冒险
蚁族的奋斗 第集,剧情 爱情
搜下留情国语版,剧情 爱情
古灵精探国语版,喜剧 犯罪
悲伤情缘,剧情
时尚中国,喜剧 爱情
生财有道,剧情 喜剧
极限挑战娱乐,真人秀
米妮宠物美容院：米奇宝贝disney英文,喜剧 动画 短片
开心剧乐部,喜剧 真人秀
雷霆扫毒国语版,剧情 动作 犯罪
那年花开月正圆 ,剧情 古装
HD火影忍者疾风传剧场版：失落之塔原声版,动画
 冷暖人生 回不去的过去上,喜剧 爱情
夺命金剑国语版,冒险
财神客栈,喜剧 动作 悬疑 古装
游走世界世界美食之旅越南,纪录片
雷霆战警 ,动作
游击英雄,剧情 战争
米兰罗马迫近尤文,喜剧
你是我兄弟,剧情 家庭
HD平安谷之诡谷传说国语版,剧情 悬疑 犯罪
格林第三季 ,剧情 恐怖 奇幻
电影与时尚同居,喜剧 爱情
全职高手周周见第集,剧情 动画
HD凡人的品格,剧情 爱情
HD杉杉来了,剧情 爱情
流星蝴蝶剑 第集,爱情 武侠 古装
向幸福前进,剧情 家庭
封神榜TVB版国语版,剧情 古装
回到火星,剧情 爱情 科幻 冒险
功夫兔与菜包狗TV版 ,喜剧 动画 短片
林海雪原new,动作 战争 冒险
金身将军王政柱,剧情 战争
生死兄弟情第集,剧情 动作 战争
